epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.212,1.3303,3.62816,1.412,0.67785,0.03962,0.12899,0.07218,1.53157,4.57021,1.52287,0.000469224,0.000469224,0.000469224
2,506.223,1.33533,2.5307,1.42991,0.63205,0.09504,0.09547,0.05628,1.60443,3.8623,1.63884,0.000926835,0.000926835,0.000926835
3,769.55,1.291,2.18864,1.39324,0.33919,0.1221,0.10525,0.07093,1.64549,4.24707,1.81765,0.00136558,0.00136558,0.00136558
4,1099.56,1.3447,1.85854,1.42017,0.21855,0.07309,0.05556,0.03559,1.56195,2.79674,1.68866,0.00134412,0.00134412,0.00134412
5,1458.62,1.27795,1.61138,1.37333,0.69904,0.08949,0.09023,0.06066,1.58042,2.64672,1.74305,0.00131582,0.00131582,0.00131582
6,1900.13,1.26239,1.50565,1.36287,0.34208,0.1351,0.11301,0.08164,1.33628,1.9334,1.51107,0.00128753,0.00128753,0.00128753
7,3294.26,1.22324,1.46197,1.33356,0.41214,0.1483,0.13015,0.08817,1.42682,2.65976,1.52925,0.00125923,0.00125923,0.00125923
8,3718.6,1.2024,1.33959,1.33416,0.35726,0.09688,0.09117,0.06302,1.38069,1.65677,1.4988,0.00123094,0.00123094,0.00123094
9,4122.63,1.19312,1.3329,1.30901,0.54491,0.18733,0.19018,0.12718,1.26607,2.02833,1.41287,0.00120265,0.00120265,0.00120265
10,4553.59,1.16786,1.27992,1.29472,0.72536,0.34775,0.37891,0.2557,1.24491,1.34166,1.38647,0.00117435,0.00117435,0.00117435
11,4988.68,1.16499,1.24228,1.2949,0.58135,0.2533,0.24401,0.16487,1.21512,1.50998,1.33943,0.00114606,0.00114606,0.00114606
12,5536.03,1.14454,1.20308,1.28101,0.69112,0.55165,0.59793,0.41232,1.17446,1.23224,1.32655,0.00111776,0.00111776,0.00111776
13,6040.88,1.12674,1.13716,1.2646,0.76435,0.63213,0.6696,0.49105,1.12432,1.45076,1.31397,0.00108947,0.00108947,0.00108947
14,6499.94,1.08357,1.11795,1.23991,0.69653,0.42275,0.45501,0.33216,1.20352,1.36756,1.36937,0.00106118,0.00106118,0.00106118
15,12019.5,1.10582,1.10469,1.25807,0.75893,0.59182,0.66007,0.46502,1.18227,1.24203,1.35392,0.00103288,0.00103288,0.00103288
16,12538.5,1.06609,1.09766,1.23051,0.78346,0.67303,0.71301,0.51821,1.08856,1.05323,1.2811,0.00100459,0.00100459,0.00100459
17,12922.7,1.06953,1.08663,1.24039,0.73131,0.62052,0.68873,0.4902,1.28713,1.56026,1.47757,0.000976293,0.000976293,0.000976293
18,13444.4,1.05723,1.03148,1.22619,0.77558,0.52909,0.61054,0.45106,1.14396,1.35647,1.31589,0.000947999,0.000947999,0.000947999
19,13883.7,1.04172,1.0062,1.21884,0.78953,0.74546,0.82457,0.60237,1.08192,1.09344,1.26591,0.000919704,0.000919704,0.000919704
20,14337.5,1.05488,0.99864,1.2268,0.81572,0.72875,0.78049,0.56038,1.10882,1.02252,1.2927,0.00089141,0.00089141,0.00089141
21,14779.2,1.04114,0.96226,1.21848,0.79379,0.71172,0.79201,0.56701,1.12311,1.07858,1.2924,0.000863116,0.000863116,0.000863116
22,15274,1.03031,0.95006,1.20754,0.73133,0.66489,0.73508,0.54034,1.11747,1.16223,1.31465,0.000834822,0.000834822,0.000834822
23,20778.9,0.99585,0.94459,1.18639,0.7459,0.58832,0.60195,0.4334,1.08441,1.12878,1.2642,0.000806528,0.000806528,0.000806528
24,23853.2,1.01563,0.93126,1.18935,0.82543,0.76014,0.81807,0.60207,1.04626,0.94132,1.25611,0.000778233,0.000778233,0.000778233
25,24346.4,0.99149,0.90718,1.18061,0.8414,0.786,0.83899,0.62009,1.04892,0.94426,1.26787,0.000749939,0.000749939,0.000749939
26,24839.9,0.97924,0.8788,1.17757,0.86944,0.80983,0.88064,0.65741,1.0434,0.84823,1.26326,0.000721645,0.000721645,0.000721645
27,25309.7,1.00514,0.88591,1.17867,0.89217,0.77553,0.88045,0.65585,1.02747,0.85641,1.2433,0.000693351,0.000693351,0.000693351
28,28790.5,0.97589,0.85927,1.17623,0.84629,0.78296,0.8575,0.63546,1.03259,0.87693,1.22216,0.000665057,0.000665057,0.000665057
29,31720.2,0.9639,0.84223,1.16035,0.84508,0.79726,0.87331,0.65447,1.03648,0.87556,1.23476,0.000636762,0.000636762,0.000636762
30,32195.4,0.95206,0.84394,1.15822,0.88559,0.8182,0.89808,0.67503,1.004,0.79129,1.2421,0.000608468,0.000608468,0.000608468
31,34937,0.94844,0.829,1.15385,0.7994,0.71209,0.76643,0.57016,1.02939,0.96998,1.24836,0.000580174,0.000580174,0.000580174
32,35383.7,0.92857,0.78897,1.1401,0.85003,0.86234,0.90186,0.67223,1.02795,0.79632,1.23247,0.00055188,0.00055188,0.00055188
33,35894.6,0.92919,0.79914,1.14903,0.89497,0.79178,0.88556,0.66534,1.02298,0.83252,1.24441,0.000523586,0.000523586,0.000523586
34,36412.3,0.91886,0.76355,1.13198,0.8929,0.81364,0.89835,0.67087,1.01045,0.79128,1.2199,0.000495291,0.000495291,0.000495291
35,38317.3,0.90319,0.75388,1.13282,0.88622,0.84587,0.91061,0.67832,0.98555,0.75159,1.20689,0.000466997,0.000466997,0.000466997
36,38825.5,0.91377,0.76253,1.1285,0.87507,0.84046,0.90526,0.68058,0.99293,0.73187,1.2087,0.000438703,0.000438703,0.000438703
37,39422.3,0.8897,0.71542,1.1151,0.90758,0.8476,0.91312,0.6913,1.00848,0.73325,1.22529,0.000410409,0.000410409,0.000410409
38,40096.5,0.88568,0.70545,1.12262,0.87776,0.85938,0.91843,0.68453,1.00904,0.72343,1.23509,0.000382115,0.000382115,0.000382115
39,40790.6,0.85122,0.68629,1.0873,0.87446,0.86051,0.9128,0.69271,0.97827,0.7279,1.20575,0.00035382,0.00035382,0.00035382
40,41391.2,0.85073,0.67668,1.08963,0.90685,0.83669,0.91453,0.69215,0.98507,0.72161,1.21889,0.000325526,0.000325526,0.000325526
41,42004.9,0.78653,0.58088,1.04295,0.87384,0.86839,0.91256,0.69107,0.98203,0.72294,1.20619,0.000297232,0.000297232,0.000297232
42,44251.4,0.75639,0.52924,1.03314,0.91114,0.86715,0.92208,0.70771,0.97615,0.66683,1.22056,0.000268938,0.000268938,0.000268938
43,45001,0.74465,0.50221,1.02001,0.90128,0.89315,0.92732,0.70889,0.95546,0.66995,1.18695,0.000240644,0.000240644,0.000240644
44,45632,0.74087,0.48485,1.0192,0.90562,0.88453,0.93204,0.71444,0.95002,0.65771,1.19631,0.000212349,0.000212349,0.000212349
45,46329,0.71716,0.46513,0.99478,0.87025,0.90635,0.92667,0.70204,0.97259,0.64182,1.21983,0.000184055,0.000184055,0.000184055
46,47149.2,0.71994,0.4675,1.00063,0.92088,0.88595,0.92894,0.71662,0.94855,0.65509,1.19201,0.000155761,0.000155761,0.000155761
47,47881.1,0.68956,0.45021,0.98801,0.89377,0.90787,0.93276,0.71858,0.9529,0.64403,1.19918,0.000127467,0.000127467,0.000127467
48,48594.9,0.69558,0.44065,0.98735,0.91948,0.88966,0.93723,0.72499,0.94009,0.63137,1.18632,9.91726e-05,9.91726e-05,9.91726e-05
49,49261.2,0.68651,0.4424,0.98564,0.89169,0.80523,0.84802,0.65972,0.94149,0.64079,1.19249,7.08784e-05,7.08784e-05,7.08784e-05
50,49966.3,0.67559,0.42353,0.97872,0.89826,0.90281,0.93225,0.72015,0.94619,0.64429,1.20015,4.25842e-05,4.25842e-05,4.25842e-05
